date,status1,status2,shuttle,filename
250702,Cooling,DIReturnPressure,A,250702_Cooling_DIReturnPressure_A.html
250702,Cooling,DIReturnPressure,B,250702_Cooling_DIReturnPressure_B.html
250702,LightMixer,Temperature,A,250702_LightMixer_Temperature_A.html
250702,LightMixer,Temperature,B,250702_LightMixer_Temperature_B.html
250702,PulseData,CwPower,A,250702_PulseData_CwPower_A.html
250702,PulseData,CwPower,B,250702_PulseData_CwPower_B.html
250702,PulseData,Energy,A,250702_PulseData_Energy_A.html
250702,PulseData,Energy,B,250702_PulseData_Energy_B.html
250702,PulseData,Power,A,250702_PulseData_Power_A.html
250702,PulseData,Power,B,250702_PulseData_Power_B.html
250702,Resonator,DewPoint,A,250702_Resonator_DewPoint_A.html
250702,Resonator,DewPoint,B,250702_Resonator_DewPoint_B.html
250702,Resonator,Temperature,A,250702_Resonator_Temperature_A.html
250702,Resonator,Temperature,B,250702_Resonator_Temperature_B.html
250702,SKO,LightMixer,A,250702_SKO_LightMixer_A.html
250702,SKO,LightMixer,B,250702_SKO_LightMixer_B.html
250703,Cooling,DIReturnPressure,A,250703_Cooling_DIReturnPressure_A.html
250703,Cooling,DIReturnPressure,B,250703_Cooling_DIReturnPressure_B.html
250703,LightMixer,Temperature,A,250703_LightMixer_Temperature_A.html
250703,LightMixer,Temperature,B,250703_LightMixer_Temperature_B.html
250703,PulseData,CwPower,A,250703_PulseData_CwPower_A.html
250703,PulseData,CwPower,B,250703_PulseData_CwPower_B.html
250703,PulseData,Energy,A,250703_PulseData_Energy_A.html
250703,PulseData,Energy,B,250703_PulseData_Energy_B.html
250703,PulseData,Power,A,250703_PulseData_Power_A.html
250703,PulseData,Power,B,250703_PulseData_Power_B.html
250703,Resonator,DewPoint,A,250703_Resonator_DewPoint_A.html
250703,Resonator,DewPoint,B,250703_Resonator_DewPoint_B.html
250703,Resonator,Temperature,A,250703_Resonator_Temperature_A.html
250703,Resonator,Temperature,B,250703_Resonator_Temperature_B.html
250703,SKO,LightMixer,A,250703_SKO_LightMixer_A.html
250703,SKO,LightMixer,B,250703_SKO_LightMixer_B.html
250707,Cooling,DIReturnPressure,A,250707_Cooling_DIReturnPressure_A.html
250707,Cooling,DIReturnPressure,B,250707_Cooling_DIReturnPressure_B.html
250707,LightMixer,Temperature,A,250707_LightMixer_Temperature_A.html
250707,LightMixer,Temperature,B,250707_LightMixer_Temperature_B.html
250707,PulseData,CwPower,A,250707_PulseData_CwPower_A.html
250707,PulseData,CwPower,B,250707_PulseData_CwPower_B.html
250707,PulseData,Energy,A,250707_PulseData_Energy_A.html
250707,PulseData,Energy,B,250707_PulseData_Energy_B.html
250707,PulseData,Power,A,250707_PulseData_Power_A.html
250707,PulseData,Power,B,250707_PulseData_Power_B.html
250707,Resonator,DewPoint,A,250707_Resonator_DewPoint_A.html
250707,Resonator,DewPoint,B,250707_Resonator_DewPoint_B.html
250707,Resonator,Temperature,A,250707_Resonator_Temperature_A.html
250707,Resonator,Temperature,B,250707_Resonator_Temperature_B.html
250707,SKO,LightMixer,A,250707_SKO_LightMixer_A.html
250707,SKO,LightMixer,B,250707_SKO_LightMixer_B.html
250804,Cooling,DIReturnPressure,A,250804_Cooling_DIReturnPressure_A.html
250804,Cooling,DIReturnPressure,B,250804_Cooling_DIReturnPressure_B.html
250804,LightMixer,Temperature,A,250804_LightMixer_Temperature_A.html
250804,LightMixer,Temperature,B,250804_LightMixer_Temperature_B.html
250804,PulseData,CwPower,A,250804_PulseData_CwPower_A.html
250804,PulseData,CwPower,B,250804_PulseData_CwPower_B.html
250804,PulseData,Energy,A,250804_PulseData_Energy_A.html
250804,PulseData,Energy,B,250804_PulseData_Energy_B.html
250804,PulseData,Power,A,250804_PulseData_Power_A.html
250804,PulseData,Power,B,250804_PulseData_Power_B.html
250804,PulseData,PulsePower,A,250804_PulseData_PulsePower_A.html
250804,PulseData,PulsePower,B,250804_PulseData_PulsePower_B.html
